action_id,domain,action_key,action_description,endpoint_or_route_basis,source_status,risk_class,default_decision,dry_run_required,approval_required,implementation_status,notes
R0-001,control,read_write_status,Read write-control status,GET /api/v2/write-status,Layer 3 validated,R0,allowed-readonly,No,No,existing-readonly,Preserve as authoritative control endpoint
R0-002,reporting,read_management_summary,Read derived management summary,GET /api/v2/accounting/management-summary,Layer 3 validated,R0,allowed-readonly,No,No,existing-readonly,Derived report only; not official Conta statutory report
R0-003,reporting,read_accounts_receivable_summary,Read accounts receivable summary,GET route family,Layer 3 validated,R0,allowed-readonly,No,No,existing-readonly,Read-only summary
R0-004,reporting,read_accounts_payable_summary,Read accounts payable summary,GET route family,Layer 3 validated,R0,allowed-readonly,No,No,existing-readonly,Read-only summary
R0-005,reporting,read_route_map,Read route map/capability matrix,GET /api/v2/route-map and /api/v2/capability-matrix,Layer 3 validated,R0,allowed-readonly,No,No,existing-readonly,Preserve
R1-001,invoice,prepare_invoice_draft_intent,Prepare invoice draft write intent without mutation,N/A planning object,Phase 4.0 architecture,R1,future-dry-run-only,Yes,Yes,planning-only,No Conta mutation; internal intent object only
R1-002,invoice,create_invoice_draft,Create invoice draft in Conta without sending,Server-side configurable only; Swagger required,Repo route map says disabled until Swagger verified,R1,blocked-until-source-and-sandbox,Yes,Yes,not-implemented,May become first candidate only after sandbox proof
R1-003,invoice,update_invoice_draft,Update existing unsent invoice draft,Swagger required,Source required,R1,blocked-until-source-and-sandbox,Yes,Yes,not-implemented,Only if draft remains unsent and reversible
R1-004,invoice,delete_invoice_draft,Delete/cancel unsent draft invoice,Swagger required,Source required,R1,blocked-until-source-and-sandbox,Yes,Yes,not-implemented,Potential numbering/audit implications must be verified
R1-005,customer,prepare_customer_create_intent,Prepare customer create intent without mutation,N/A planning object,Phase 4.0 architecture,R1,future-dry-run-only,Yes,Yes,planning-only,Internal intent only
R1-006,product,prepare_product_create_intent,Prepare product/service item create intent without mutation,N/A planning object,Phase 4.0 architecture,R1,future-dry-run-only,Yes,Yes,planning-only,Internal intent only
R2-001,customer,create_customer,Create customer in Conta,/invoice/organizations/{orgId}/customers route family; method/payload Swagger required,Repo confirms customer route examples for list/get only,R2,blocked,Yes,Yes,not-implemented,Master-data mutation; duplicate and VAT validation required
R2-002,customer,update_customer,Update customer in Conta,/invoice/organizations/{orgId}/customers/{customerId} route family; method/payload Swagger required,Repo confirms customer route examples for list/get only,R2,blocked,Yes,Yes,not-implemented,Could change legal/customer data; audit required
R2-003,customer,delete_or_archive_customer,Delete/archive customer,Swagger required,Source required,R2,blocked,Yes,Yes,not-implemented,May be disallowed or irreversible
R2-004,supplier,create_supplier,Create supplier/vendor,Swagger required,Source required,R2,blocked,Yes,Yes,not-implemented,Master-data mutation
R2-005,supplier,update_supplier,Update supplier/vendor,Swagger required,Source required,R2,blocked,Yes,Yes,not-implemented,Master-data mutation
R2-006,product,create_product_or_service,Create product/service item,Swagger required,Source required,R2,blocked,Yes,Yes,not-implemented,May affect future invoices
R2-007,product,update_product_or_service,Update product/service item,Swagger required,Source required,R2,blocked,Yes,Yes,not-implemented,May affect pricing/VAT/product data
R2-008,invoice,register_invoice_payment,Register payment against invoice,Swagger required,Source required,R2,blocked,Yes,Yes,not-implemented,Affects receivables and ledger state
R2-009,invoice,create_credit_note_draft,Create credit note draft,Swagger required,Source required,R2,blocked,Yes,Yes,not-implemented,Accounting effect/numbering must be verified
R2-010,purchase,register_purchase_draft,Register purchase/purchase invoice draft,Swagger required,Source required,R2,blocked,Yes,Yes,not-implemented,Affects AP/VAT/expense workflow
R2-011,voucher,create_voucher_draft,Create voucher/accounting entry draft,Swagger required,Source required,R2,blocked,Yes,Yes,not-implemented,Ledger impact; period lock validation required
R2-012,ledger,post_general_journal_entry,Post general ledger journal entry,Swagger required,Source required,R2,blocked,Yes,Yes,not-implemented,High accounting integrity risk
R2-013,attachment,upload_document_attachment,Upload document/voucher attachment,Swagger required,Source required,R2,blocked,Yes,Yes,not-implemented,Document retention/confidentiality controls required
R2-014,bank,import_bank_statement,Import bank statement/reconciliation data,Swagger required,Source required,R2,blocked,Yes,Yes,not-implemented,Bank data confidentiality and reconciliation risk
R2-015,bank,match_bank_transaction,Match/reconcile bank transaction,Swagger required,Source required,R2,blocked,Yes,Yes,not-implemented,Affects reconciliation status
R3-001,invoice,send_invoice,Send invoice to customer,Swagger required,Source required,R3,blocked,Yes,Yes + second confirmation,not-implemented,External communication and legal/commercial effect
R3-002,invoice,send_credit_note,Send credit note to customer,Swagger required,Source required,R3,blocked,Yes,Yes + second confirmation,not-implemented,External communication and accounting effect
R3-003,invoice,send_payment_reminder,Send payment reminder/dunning notice,Swagger required,Source required,R3,blocked,Yes,Yes + second confirmation,not-implemented,External customer communication and relationship risk
R3-004,email,send_accounting_document_email,Send accounting document by email,Swagger/API or internal mail route required,Source required,R3,blocked,Yes,Yes + second confirmation,not-implemented,Must not send without operator-approved recipient/content preview
R4-001,vat,prepare_vat_report_draft,Prepare VAT report draft,Swagger required,Source required,R4,blocked,Yes,Yes + legal/accounting review,not-implemented,Statutory process; draft only may still be sensitive
R4-002,vat,submit_vat_report,Submit VAT report/statutory filing,Swagger required,Source required,R4,blocked-hard,Yes,Prohibited until explicit statutory approval,not-implemented,Hard blocked until separate legal/accounting authorization
R4-003,annual_settlement,prepare_annual_settlement,Prepare annual settlement data/package,Annual settlement source required,Source required,R4,blocked,Yes,Yes + legal/accounting review,not-implemented,Standalone module status unknown
R4-004,annual_settlement,submit_annual_settlement,Submit annual settlement/statutory package,Annual settlement source required,Source required,R4,blocked-hard,Yes,Prohibited until explicit statutory approval,not-implemented,Hard blocked
R4-005,period,close_or_lock_accounting_period,Close/lock accounting period,Swagger required,Source required,R4,blocked-hard,Yes,Explicit senior approval required,not-implemented,Can prevent corrections and affect statutory reporting
R5-001,payment,initiate_bank_payment,Initiate bank payment,Swagger/bank integration source required,Source required,R5,blocked-hard,Yes,Prohibited,not-implemented,Payment execution is out of scope
R5-002,payment,approve_or_send_bank_payment,Approve/send bank payment,Swagger/bank integration source required,Source required,R5,blocked-hard,Yes,Prohibited,not-implemented,Payment execution hard blocked
R5-003,payment,modify_bank_account_details,Create/update bank account or payout details,Swagger required,Source required,R5,blocked-hard,Yes,Prohibited,not-implemented,High fraud/security risk
